predictor,pooled_result_type,pooled_estimate,pooled_p,n_yes,n_no,mean_yes,mean_no,lmm_estimate,lmm_se,lmm_p,lmm_ci95_low,lmm_ci95_high,random_intercept_variance,icc,n_observations,n_participants,lrt_chi2_vs_intercept,lrt_p_vs_intercept,lmm_converged
any_coherent_pattern,Welch diff,0.24159547166936335,0.019239169328813092,117.0,1015.0,2.030911680911681,1.7893162092423176,0.21270263100547585,0.10496571288436855,0.04272370325052621,0.0069736141405415675,0.4184316478704101,0.21770443966366318,0.1721226506218012,1132,46,4.0986034828983975,0.042918649905951026,True
confident_coherent_pattern,Welch diff,0.3542894154269791,0.015239794109930874,51.0,1081.0,2.1526143790849677,1.7983249636579886,0.27327069291182265,0.15255180980985156,0.07324029218377535,-0.025725360091890526,0.5722667459155358,0.21657264303311516,0.17124089511073845,1132,46,3.204452135369138,0.07343810055376383,True
risk_index,Spearman r,0.047826720845903455,0.10777331027395541,,,,,0.034403556177212684,0.015149736180575487,0.023152951193749775,0.004710618888001332,0.06409649346642404,0.2161732271348659,0.1712216426577441,1132,46,5.145414790875293,0.023307841492281028,True
behavioral_withdrawal,Welch diff,0.632907858300015,0.0018292393090801452,27.0,1105.0,2.4320987654320985,1.7991909071320835,0.6774665368333553,0.20677367812180442,0.0010515167841201997,0.27219757476374096,1.0827354989029696,0.22044686590204302,0.17483835469834338,1132,46,10.68090399270659,0.001082471497386762,True
